ID,RA (h m s),Dec (d m s),mF127M (mag),mF139M (mag),mF153M (mag),mF205W (mag),#Observations (#Epochs),Spectral classification,Notes
F23,17 45 51.211,-28 49 23.84,16.38,15.27,14.21,12.19,6(6),O5.5-6 Ia,
F39,17 45 51.166,-28 49 36.70,16.98,15.84,14.76,12.65,1(1),O5.5-6 Ia,
F41,17 45 50.429,-28 49 27.42,18.46,17.15,15.89,13.53,4(4),O5 Ia,
F44,17 45 50.701,-28 49 25.59,17.19,16.05,14.93,12.88,7(5),O5.5-6 Ia,Close to 73
F48,17 45 50.623,-28 49 26.96,17.69,16.53,15.42,13.28,6(6),O5.5-6 Ia,
F56,17 45 50.591,-28 49 22.19,17.0,15.92,14.91,13.03,2(2),O5.5-6 III,Merged with F95
F57,17 45 50.768,-28 49 20.31,16.91,,,13.04,2(2),O5.5-6 III,Merged with F72
F58,17 45 49.968,-28 49 19.60,17.83,16.57,15.37,13.05,3(3),O5.5-6 III,
F65,17 45 50.082,-28 49 21.53,17.58,16.42,15.32,13.16,5(5),O5.5-6 Ia,
F72,17 45 50.784,-28 49 20.27,,16.08,15.05,13.13,2(2),O5.5-6 III,Merged with F57
F73,17 45 50.679,-28 49 25.58,17.78,16.59,15.48,13.35,11(9),O6 III,Close to F44
F80,17 45 50.589,-28 49 19.46,17.4,16.29,15.32,13.47,28(14),O6-6.5 III,Close to F7
F83,17 45 50.061,-28 49 20.67,18.0,16.81,15.69,13.53,4(4),O6-7 III-V,
F89,17 45 50.955,-28 49 17.15,17.33,16.33,15.39,13.65,16(15),O7-8 V,
F94,17 45 50.657,-28 49 28.03,18.74,17.5,16.33,14.14,4(4),O6-8 III-V,
F95,17 45 50.578,-28 49 22.00,17.8,16.71,15.69,13.71,2(2),O5.5-6 III,Merged with F56
F98,17 45 51.153,-28 49 37.06,18.08,16.93,15.87,13.75,1(1),O6-6.5 III,
F101,17 45 50.914,-28 49 18.37,17.55,16.53,15.58,13.78,19(16),O8 V,
F102,17 45 50.876,-28 49 28.80,18.24,17.07,15.93,13.78,6(6),O5-6 V,
F118,17 45 50.453,-28 49 25.97,18.66,17.44,16.28,14.08,8(6),O8-9.5 V,
F119,17 45 50.842,-28 49 22.75,18.18,17.09,16.06,14.06,11(10),O8 V,
F121,17 45 50.204,-28 49 19.64,18.53,17.35,16.24,14.09,9(9),O9.5 V,
F128,17 45 51.216,-28 49 36.53,18.51,17.37,16.28,14.18,1(1),O9.5 V,
F130,17 45 50.605,-28 49 27.50,18.8,17.58,16.4,14.21,4(4),O9.5 V,
F131,17 45 50.163,-28 49 27.46,19.11,17.8,16.55,14.23,9(6),O6.5 III,Close to F10 & 17
F136,17 45 50.077,-28 49 27.84,19.59,18.18,16.83,14.3,13(10),O6-7 V,
F139,17 45 51.207,-28 49 23.41,18.59,17.48,16.33,14.36,6(6),O8 V,
F142,17 45 50.689,-28 49 24.93,18.63,17.5,16.43,14.41,2(2),O8 V,Close to F53
F157,17 45 50.220,-28 49 24.18,19.11,17.89,16.71,14.55,14(14),O8-9.5 V,
F159,17 45 50.882,-28 49 15.69,19.63,18.49,17.32,14.57,6(6),O9.5 V,
F170,17 45 50.704,-28 49 20.96,18.74,17.67,16.63,14.74,19(10),O8-9.5 V,"Close to F32, 33 & 38"
F173,17 45 50.204,-28 49 20.24,19.1,17.93,16.83,14.8,5(5),O9.5 V,
F185,17 45 50.282,-28 49 27.56,19.65,18.4,17.18,14.95,10(7),O9.5 V,
F186,17 45 50.001,-28 49 28.24,20.43,19.01,17.61,14.95,13(10),O9.5 V,
F188,17 45 50.936,-28 49 21.80,19.02,17.93,16.91,14.97,3(3),O9.5 V,
F189,17 45 50.595,-28 49 23.52,18.91,17.79,16.69,14.77,5(5),O9.5 V,
